test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2024-25,fpl_chance,unavailable,0.2,0.3,0,,
2024-25,fpl_chance,unavailable,0.3,0.4,0,,
2024-25,fpl_chance,unavailable,0.4,0.5,0,,
2024-25,fpl_chance,unavailable,0.5,0.6,27283,0.5958,0.5761
2024-25,fpl_chance,unavailable,0.6,0.7,0,,
2024-25,fpl_chance,unavailable,0.7,0.8,0,,
2024-25,fpl_chance,unavailable,0.8,0.9,0,,
2024-25,fpl_chance,unavailable,0.9,1.0,0,,
2024-25,fpl_chance,full,0.0,0.1,0,,
2024-25,fpl_chance,full,0.1,0.2,0,,
2024-25,fpl_chance,full,0.2,0.3,27283,0.2791,0.2866
2024-25,fpl_chance,full,0.3,0.4,0,,
2024-25,fpl_chance,full,0.4,0.5,0,,
2024-25,fpl_chance,full,0.5,0.6,0,,
2024-25,fpl_chance,full,0.6,0.7,0,,
2024-25,fpl_chance,full,0.7,0.8,0,,
2024-25,fpl_chance,full,0.8,0.9,0,,
2024-25,fpl_chance,full,0.9,1.0,0,,
2024-25,hierarchical,unavailable,0.0,0.1,4140,0.0623,0.0758
2024-25,hierarchical,unavailable,0.1,0.2,2846,0.1533,0.1448
2024-25,hierarchical,unavailable,0.2,0.3,1857,0.2504,0.2267
2024-25,hierarchical,unavailable,0.3,0.4,1488,0.3457,0.3071
2024-25,hierarchical,unavailable,0.4,0.5,1369,0.4478,0.412
2024-25,hierarchical,unavailable,0.5,0.6,1170,0.55,0.5197
2024-25,hierarchical,unavailable,0.6,0.7,1368,0.6505,0.636
2024-25,hierarchical,unavailable,0.7,0.8,1323,0.752,0.7037
2024-25,hierarchical,unavailable,0.8,0.9,2173,0.8524,0.8596
2024-25,hierarchical,unavailable,0.9,1.0,9549,0.9555,0.971
2024-25,hierarchical,full,0.0,0.1,13947,0.0293,0.0277
2024-25,hierarchical,full,0.1,0.2,1825,0.1548,0.1956
2024-25,hierarchical,full,0.2,0.3,1414,0.2522,0.2645
2024-25,hierarchical,full,0.3,0.4,1308,0.3447,0.3509
2024-25,hierarchical,full,0.4,0.5,1208,0.452,0.457
2024-25,hierarchical,full,0.5,0.6,1179,0.5541,0.5428
2024-25,hierarchical,full,0.6,0.7,1345,0.6487,0.6208
2024-25,hierarchical,full,0.7,0.8,1644,0.7497,0.7597
2024-25,hierarchical,full,0.8,0.9,2055,0.855,0.8404
2024-25,hierarchical,full,0.9,1.0,1358,0.9332,0.9138
2024-25,gbm,unavailable,0.0,0.1,5361,0.0513,0.0455
2024-25,gbm,unavailable,0.1,0.2,2980,0.1446,0.144
2024-25,gbm,unavailable,0.2,0.3,1617,0.2461,0.2257
2024-25,gbm,unavailable,0.3,0.4,1171,0.3459,0.3254
2024-25,gbm,unavailable,0.4,0.5,899,0.4493,0.4716
2024-25,gbm,unavailable,0.5,0.6,954,0.5508,0.5514
2024-25,gbm,unavailable,0.6,0.7,897,0.6499,0.68
2024-25,gbm,unavailable,0.7,0.8,1060,0.7538,0.7934
2024-25,gbm,unavailable,0.8,0.9,1668,0.8548,0.8603
2024-25,gbm,unavailable,0.9,1.0,10676,0.9782,0.98
2024-25,gbm,full,0.0,0.1,14229,0.0172,0.0146
2024-25,gbm,full,0.1,0.2,1902,0.1453,0.1377
2024-25,gbm,full,0.2,0.3,1182,0.2475,0.258
2024-25,gbm,full,0.3,0.4,974,0.3489,0.3645
2024-25,gbm,full,0.4,0.5,882,0.4488,0.4501
2024-25,gbm,full,0.5,0.6,965,0.5513,0.5264
2024-25,gbm,full,0.6,0.7,1205,0.6518,0.6299
2024-25,gbm,full,0.7,0.8,1610,0.7542,0.7447
2024-25,gbm,full,0.8,0.9,2306,0.8519,0.8469
2024-25,gbm,full,0.9,1.0,2028,0.9351,0.9241
2025-26,base_rate,unavailable,0.0,0.1,0,,
2025-26,base_rate,unavailable,0.1,0.2,0,,
2025-26,base_rate,unavailable,0.2,0.3,0,,
2025-26,base_rate,unavailable,0.3,0.4,0,,
2025-26,base_rate,unavailable,0.4,0.5,0,,
2025-26,base_rate,unavailable,0.5,0.6,29747,0.5893,0.6137
2025-26,base_rate,unavailable,0.6,0.7,0,,
2025-26,base_rate,unavailable,0.7,0.8,0,,
2025-26,base_rate,unavailable,0.8,0.9,0,,
2025-26,base_rate,unavailable,0.9,1.0,0,,
2025-26,base_rate,full,0.0,0.1,0,,
2025-26,base_rate,full,0.1,0.2,0,,
2025-26,base_rate,full,0.2,0.3,29747,0.2816,0.2626
2025-26,base_rate,full,0.3,0.4,0,,
2025-26,base_rate,full,0.4,0.5,0,,
2025-26,base_rate,full,0.5,0.6,0,,
2025-26,base_rate,full,0.6,0.7,0,,
2025-26,base_rate,full,0.7,0.8,0,,
2025-26,base_rate,full,0.8,0.9,0,,
2025-26,base_rate,full,0.9,1.0,0,,
2025-26,prior_season,unavailable,0.0,0.1,0,,
2025-26,prior_season,unavailable,0.1,0.2,0,,
2025-26,prior_season,unavailable,0.2,0.3,4402,0.2459,0.2485
2025-26,prior_season,unavailable,0.3,0.4,2963,0.3471,0.4371
2025-26,prior_season,unavailable,0.4,0.5,1899,0.4432,0.4044
2025-26,prior_season,unavailable,0.5,0.6,11429,0.5849,0.669
2025-26,prior_season,unavailable,0.6,0.7,1593,0.6503,0.58
2025-26,prior_season,unavailable,0.7,0.8,1515,0.7498,0.664
2025-26,prior_season,unavailable,0.8,0.9,5946,0.8501,0.9287
2025-26,prior_season,unavailable,0.9,1.0,0,,
2025-26,prior_season,full,0.0,0.1,6250,0.0971,0.0408
2025-26,prior_season,full,0.1,0.2,2826,0.1471,0.2116
2025-26,prior_season,full,0.2,0.3,11852,0.2748,0.2104
